PM2.5 measurements at country level;;;;;;;;;;;
PM2.5: percentage of population and exceedances. Results are shown at country level  (including EU28 and EEA33 aggregates).;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_TV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_TV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_TV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_TV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;country_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;688829,992;5;0;100;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;974328;7;0;100;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;974328;7;0;100;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;688829,992;5;0;100;
EE;Estonia;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;382006,692;1;0;100;
EE;Estonia;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;382006,692;1;0;100;
EE;Estonia;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;537148,584;3;0;100;
EE;Estonia;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;537148,584;3;0;100;
EE;Estonia;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;537148,584;3;0;100;
EE;Estonia;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;537148,584;3;0;100;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);1998;0;0;759562,112;3;0;100;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);1999;0;0;7812138,45;5;0;100;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2000;431532,412;1;8309904,45;5;4,93663019950324;95,0633698004968;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2001;382127,998;1;11583774,074;14;3,19347422117195;96,8065257788281;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2002;519410,882;3;16345908,402;30;3,07975718249675;96,9202428175032;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;137282,884;2;18575865,189;47;0,733617259183005;99,266382740817;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;1845501,968;6;25779232,868;84;6,68061423559794;93,3193857644021;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;1061954,529;12;28463338,228;92;3,59676206342857;96,4032379365714;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;4942539,905;19;32058272,123;103;13,3579227970991;86,6420772029009;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;1483772,7085;11;33503104,6345;123;4,24094066456281;95,7590593354372;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;3485140,3825;11;43529483,1935;157;7,41288585851636;92,5871141414836;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;5976839,948;24;76114643,432;331;7,28070647759319;92,7192935224068;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;8562747,214;42;81042319,221;396;9,5560971657908;90,4439028342092;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;13274973,6835;61;82608172,6105;440;13,8449500215563;86,1550499784437;
EEA33;EEA33;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;10832619,268;47;88610794,767;480;10,893249566218;89,106750433782;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;3254110,011;11;0;100;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;8333,826;1;3558407,463;12;0,233653784357781;99,7663462156422;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;1512981,179;1;3343083,858;6;31,1565262712111;68,8434737287889;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;3468997,925;6;0;100;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;4944019,688;8;0;100;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;208063,476;1;6567065,135;21;3,07098931911331;96,9290106808867;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;7188649,806;29;0;100;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;8589189,492;40;0;100;
ES;Spain;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;8338867,587;36;0;100;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);1998;0;0;431532,412;1;0;100;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);1999;0;0;7440214;2;0;100;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2000;431532,412;1;7937980;2;5,15600420618625;94,8439957938138;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2001;382127,998;1;11211849,624;11;3,29591802277501;96,704081977225;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2002;475516,132;2;16017878,702;28;2,88307008221107;97,1169299177889;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;93388,134;1;18360303,712;40;0,506067483836535;99,4939325161635;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;1845501,968;6;25368767,653;76;6,7813760710885;93,2186239289115;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;1061954,529;12;28057429,308;85;3,64689903792074;96,3531009620793;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;4942539,905;19;31841647,391;96;13,4365885678748;86,5634114321252;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;1483772,7085;11;33435448,4075;116;4,24915751577327;95,7508424842267;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;3485140,3825;11;43070571,5915;149;7,48595657702829;92,5140434229717;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;5976839,948;24;75225314,938;315;7,36044499852363;92,6395550014764;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;8562747,214;42;80329544,745;381;9,63272183143778;90,3672781685622;
